"","Nom.2024.Commune","Agrégat","Montant.en...par.habitant"
"387","Noisy-le-Grand","Péréquations et compensations fiscales","38.190931698081215"
"388","Noisy-le-Sec","Péréquations et compensations fiscales","25.508079344134636"
"389","Pantin","Péréquations et compensations fiscales","48.74523860299546"
"390","Les Pavillons-sous-Bois","Péréquations et compensations fiscales","5.954631613647602"
"391","Pierrefitte-sur-Seine","Péréquations et compensations fiscales","39.36815333374452"
"392","Le Pré-Saint-Gervais","Péréquations et compensations fiscales","4.458641281854195"
"393","Le Raincy","Péréquations et compensations fiscales","1.5228328687110049"
"394","Romainville","Péréquations et compensations fiscales","25.800287916504214"
"395","Rosny-sous-Bois","Péréquations et compensations fiscales","17.875177181237326"
"396","Saint-Denis","Péréquations et compensations fiscales","50.58153717481835"
"397","Saint-Ouen-sur-Seine","Péréquations et compensations fiscales","148.23268942235558"
"398","Sevran","Péréquations et compensations fiscales","31.477483366024384"
"399","Stains","Péréquations et compensations fiscales","31.273421852978267"
"400","Tremblay-en-France","Péréquations et compensations fiscales","358.1316463805253"
"401","Vaujours","Péréquations et compensations fiscales","288.13617697708304"
"402","Villemomble","Péréquations et compensations fiscales","4.9309169561512745"
"403","Villepinte","Péréquations et compensations fiscales","11.560750554152277"
"404","Villetaneuse","Péréquations et compensations fiscales","81.7172882685069"
"405","Aubervilliers","Produit des cessions d'immobilisations","44.79608681682713"
"406","Aulnay-sous-Bois","Produit des cessions d'immobilisations","98.89207369224012"
"407","Bagnolet","Produit des cessions d'immobilisations","0.0"
"408","Le Blanc-Mesnil","Produit des cessions d'immobilisations","25.958797691622713"
"409","Bobigny","Produit des cessions d'immobilisations","85.50500987479843"
"410","Bondy","Produit des cessions d'immobilisations","16.01748732734091"
"411","Le Bourget","Produit des cessions d'immobilisations","98.20780094149293"
"412","Clichy-sous-Bois","Produit des cessions d'immobilisations","0.020130175132523652"
"413","Coubron","Produit des cessions d'immobilisations","1.9874681809281378"
"414","La Courneuve","Produit des cessions d'immobilisations","89.33796464294021"
"415","Drancy","Produit des cessions d'immobilisations","76.08773789078317"
"416","Dugny","Produit des cessions d'immobilisations","0.0"
"417","Épinay-sur-Seine","Produit des cessions d'immobilisations","21.269270093405673"
"418","Gagny","Produit des cessions d'immobilisations","0.0"
"419","Gournay-sur-Marne","Produit des cessions d'immobilisations","1.6849078341013826"
"420","L'Île-Saint-Denis","Produit des cessions d'immobilisations","93.28573073822412"
"421","Les Lilas","Produit des cessions d'immobilisations","101.8159311543516"
"422","Livry-Gargan","Produit des cessions d'immobilisations","0.25656995110130254"
"423","Montfermeil","Produit des cessions d'immobilisations","0.027402135231316727"
"424","Montreuil","Produit des cessions d'immobilisations","21.69001669240451"
"425","Neuilly-Plaisance","Produit des cessions d'immobilisations","0.0"
"426","Neuilly-sur-Marne","Produit des cessions d'immobilisations","6.411303966630357"
"427","Noisy-le-Grand","Produit des cessions d'immobilisations","42.94041116794303"
"428","Noisy-le-Sec","Produit des cessions d'immobilisations","0.0"
"429","Pantin","Produit des cessions d'immobilisations","7.217966173985793"
"430","Les Pavillons-sous-Bois","Produit des cessions d'immobilisations","0.0"
"431","Pierrefitte-sur-Seine","Produit des cessions d'immobilisations","0.03441682600382409"
"432","Le Pré-Saint-Gervais","Produit des cessions d'immobilisations","0.0"
"433","Le Raincy","Produit des cessions d'immobilisations","0.0"
"434","Romainville","Produit des cessions d'immobilisations","0.48680022793389915"
"435","Rosny-sous-Bois","Produit des cessions d'immobilisations","31.005994722724992"
"436","Saint-Denis","Produit des cessions d'immobilisations","11.364800317122894"
"437","Saint-Ouen-sur-Seine","Produit des cessions d'immobilisations","46.399099774943735"
"438","Sevran","Produit des cessions d'immobilisations","18.165455174800968"
"439","Stains","Produit des cessions d'immobilisations","9.81381648245679"
"440","Tremblay-en-France","Produit des cessions d'immobilisations","0.0"
"441","Vaujours","Produit des cessions d'immobilisations","0.9300569611869122"
