Insee - Statistiques locales; ; ; ; ; 
Référentiel géographique : France par commune; ; ; ; ; 
Sélection : Île-de-France; ; ; ; ; 
Code;Libellé;Nombre d'autres hébergements collectifs de tourisme 2025;Médiane du niveau de vie 2021;Unités légales dans construction (en nombre) 2023;Nb de pers. non scolarisées de 15 ans ou + 2022
78185;Courgent;0;32110;3;312
78188;Cravent;0;26910;4;303
78189;Crespières;0;37670;8;1235
78190;Croissy-sur-Seine;0;38780;57;7464
78192;Dammartin-en-Serve;0;25440;11;966
78193;Dampierre-en-Yvelines;0;35130;7;775
78194;Dannemarie;0;32960;1;172
78196;Davron;0;39010;1;213
78202;Drocourt;0;26400;6;404
78206;Ecquevilly;0;26630;58;2929
78208;Élancourt;0;26320;126;17932
78209;Émancé;0;30810;5;632
78217;Épône;0;26330;74;4742
78220;Les Essarts-le-Roi;0;29600;50;4898
78224;L'Étang-la-Ville;0;40580;22;3435
78227;Évecquemont;0;31430;9;561
78230;La Falaise;0;28620;3;451
78231;Favrieux;0;28820;2;122
78233;Feucherolles;0;42090;16;2091
78234;Flacourt;0;26080;2;131
78236;Flexanville;0;31130;5;427
78237;Flins-Neuve-Église;0;26740;3;113
78238;Flins-sur-Seine;0;25620;35;1769
78239;Follainville-Dennemont;0;25230;32;1567
78242;Fontenay-le-Fleury;0;26260;78;9683
78245;Fontenay-Mauvoisin;0;32020;4;341
78246;Fontenay-Saint-Père;0;30160;12;711
78255;Freneuse;1;22930;61;3007
78261;Gaillon-sur-Montcient;0;28410;5;484
