Observatoire des territoires - ANCT; ; 
Référentiel géographique : Communes (2025); ; 
Sélection : Île-de-France; ; 
Code;Libellé;Nombre de logements vacants 2022
91434;Morsang-sur-Orge;900
91435;Morsang-sur-Seine;9
91441;Nainville-les-Roches;6
91457;La Norville;48
91458;Nozay;53
91461;Ollainville;91
91463;Oncy-sur-École;16
91468;Ormoy;101
91469;Ormoy-la-Rivière;50
91471;Orsay;660
91473;Orveau;6
91477;Palaiseau;1214
91479;Paray-Vieille-Poste;260
91482;Pecqueuse;32
91494;Le Plessis-Pâté;58
91495;Plessis-Saint-Benoist;12
91507;Prunay-sur-Essonne;4
91508;Puiselet-le-Marais;12
91511;Pussay;136
91514;Quincy-sous-Sénart;336
91519;Richarville;4
91521;Ris-Orangis;752
91525;Roinville;20
91526;Roinvilliers;0
91533;Saclas;65
91534;Saclay;81
91538;Saint-Aubin;11
91540;Saint-Chéron;168
91544;Saint-Cyr-la-Rivière;26
91546;Saint-Cyr-sous-Dourdan;54
91547;Saint-Escobille;16
91549;Sainte-Geneviève-des-Bois;562
91552;Saint-Germain-lès-Arpajon;189
91553;Saint-Germain-lès-Corbeil;104
91556;Saint-Hilaire;14
91560;Saint-Jean-de-Beauregard;7
91568;Saint-Maurice-Montcouronne;26
91570;Saint-Michel-sur-Orge;734
91573;Saint-Pierre-du-Perray;99
91577;Saintry-sur-Seine;204
91578;Saint-Sulpice-de-Favières;24
91579;Saint-Vrain;70
91581;Saint-Yon;24
91587;Saulx-les-Chartreux;193
91589;Savigny-sur-Orge;1504
91593;Sermaise;78
91599;Soisy-sur-École;282
91600;Soisy-sur-Seine;207
91602;Souzy-la-Briche;2
91613;Congerville-Thionville;4
91617;Tigery;56
91619;Torfou;6
91629;Valpuiseaux;28
91630;Le Val-Saint-Germain;51
91631;Varennes-Jarcy;57
91634;Vaugrigneuse;45
91635;Vauhallan;43
91639;Vayres-sur-Essonne;18
91645;Verrières-le-Buisson;379
91648;Vert-le-Grand;49
91649;Vert-le-Petit;122
91654;Videlles;31
91657;Vigneux-sur-Seine;800
91659;Villabé;192
91661;Villebon-sur-Yvette;231
91662;Villeconin;10
91665;La Ville-du-Bois;158
91666;Villejust;87
91667;Villemoisson-sur-Orge;167
91671;Villeneuve-sur-Auvers;13
91679;Villiers-le-Bâcle;66
